2026-05-19 20:51:41,191 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:51:42,900 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,907 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,907 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,907 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,907 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,907 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,922 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,922 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:42,922 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:51:44,520 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,520 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,520 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,536 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,540 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,542 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,546 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,549 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:44,553 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:51:46,067 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:46,074 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:46,074 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:51:47,744 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,752 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,752 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,758 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,758 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,758 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:47,758 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,768 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:47,785 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:51:49,305 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:49,305 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:49,321 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:51:51,180 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,189 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,194 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,194 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,196 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,199 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,201 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,205 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,206 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:51,212 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:51:52,895 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:52,899 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:52,900 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:52,907 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:52,911 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:52,913 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:52,913 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:52,926 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:51:54,488 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:54,488 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:54,504 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:51:56,176 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,176 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,176 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,176 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,192 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,194 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,194 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,198 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:51:56,200 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:51:57,750 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,750 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,766 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,768 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,771 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,773 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,776 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:57,776 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:51:57,783 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:51:59,492 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:59,492 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:51:59,499 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:01,123 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,123 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,139 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,139 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,145 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,148 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,150 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,152 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:01,157 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:02,761 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,763 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,763 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,763 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,772 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:02,772 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:02,772 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,772 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,772 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,789 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:02,789 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:04,384 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,384 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,393 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,395 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,397 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,402 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,403 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:04,409 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:06,010 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:06,014 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:06,018 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:07,621 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,621 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,627 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,631 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,633 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,637 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:07,642 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,645 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,647 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,651 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:07,656 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:07,662 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:09,410 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:09,414 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:09,416 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:09,422 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:09,422 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:09,435 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:11,295 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:11,295 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:11,310 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:12,923 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,923 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,923 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,931 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,931 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:12,931 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,939 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:12,939 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,955 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,955 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:12,955 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:14,613 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:14,621 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:14,621 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:14,621 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:14,630 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:14,630 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:14,630 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:16,274 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:16,278 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:16,278 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:17,967 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,970 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,974 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,977 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:17,979 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,979 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,988 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,991 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,996 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:17,999 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:18,020 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:19,740 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:19,742 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:19,742 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:19,742 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:19,742 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:19,742 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:19,754 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:21,412 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:21,414 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:21,417 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:23,111 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,116 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,120 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,122 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,127 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:23,130 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,135 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,138 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:23,142 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:24,881 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,883 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,883 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,890 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,890 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,890 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,897 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:24,905 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:26,693 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:26,697 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:26,703 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:28,428 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:28,432 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:28,432 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:28,432 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:28,441 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:28,445 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:28,449 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:28,466 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:30,150 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,152 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,156 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,158 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,162 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,164 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,170 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:30,176 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:31,939 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:31,943 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:31,953 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:33,593 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,596 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,598 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,601 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,606 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,609 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,612 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:33,616 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,619 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,624 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,628 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,634 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:35,291 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,293 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,298 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,298 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,303 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,303 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,311 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:36,940 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:36,943 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:36,948 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:38,567 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,569 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,573 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,575 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,580 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,583 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,585 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:38,589 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,593 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,597 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,597 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:40,142 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,142 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,157 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,159 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,161 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,161 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,174 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:41,837 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:41,837 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:41,846 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:43,430 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,432 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,438 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,443 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,444 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,451 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,458 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,461 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,467 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,467 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,472 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:45,350 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
